,MASA,CAM,SU,İYİLİK,TÜTÜN,KELİME,KALEM,ÖLÇEK,ÇANTA,AĞAÇ,PARK,SARI,ŞİŞE,BEYİN,BARDAK,YAZI,KAĞIT,BİNA,KOLAY,RAKAM,KÖPEK,EKRAN,KALE,TABAK,TERLİK,KEDİ,CÜZDAN,KAPI,GRUP,BÜYÜK,DEFTER,SPOR,TOPLU,ELMA,KAŞIK,SEHPA,KISA,İLAÇ,KOLTUK,PARKUR,TOPRAK,KALAS,DOLAP,KİTAP,ODA,HALI,KÜÇÜK,DUVAR,SALÇA,ÇİÇEK,YATAK,LAMBA,DÜĞME,KOKU,FIRIN,TAHTA,MARKET,MEKTUP,KASA,HARİTA,DERGİ,PARA,ZEMİN,HALKA,TERAS,SIRA,KUTU,BAHÇE,SİLGİ,KALIP,ÇORAP
FIRIN,0.32420135,0.3466789,0.37337974,0.19691911,0.30406773,0.21949223,0.3193586,0.35935575,0.39843085,0.35799605,0.32154515,0.2182724,0.34451976,0.3205701,0.44798234,0.22539955,0.38937324,0.33786988,0.3484956,0.26101038,0.3270378,0.26281294,0.3632405,0.3987358,0.34965762,0.38688603,0.36814502,0.43650246,0.25932583,0.2687749,0.30586132,0.2334234,0.29816496,0.31033766,0.48027533,0.54775107,0.16218105,0.27447367,0.2795183,0.24563155,0.3516005,0.2860627,0.51395726,0.2069913,0.29366487,0.39744106,0.3637446,0.33789766,0.61937714,0.294613,0.37166205,0.459179,0.49401605,0.45417356,1.0,0.43239775,0.41650194,0.20015876,0.34863836,0.2970813,0.24823888,0.26166034,0.35570377,0.2612621,0.38506487,0.2109816,0.3618986,0.38622448,0.35775,0.35546896,0.37210864
TAHTA,0.42041895,0.39002672,0.30433294,0.3505563,0.29483524,0.42771426,0.3810129,0.36026374,0.41959283,0.4833445,0.34614846,0.32856104,0.37835395,0.4102752,0.5273327,0.36315826,0.46908015,0.31892344,0.34830862,0.39225596,0.44149444,0.3155037,0.36034817,0.44751346,0.3874861,0.51190585,0.44594243,0.40823472,0.22908488,0.32784572,0.44531265,0.21073952,0.3337104,0.38513634,0.5612475,0.56107914,0.26313043,0.33568314,0.29046804,0.38986462,0.32722732,0.34505397,0.45002383,0.37316358,0.26155055,0.4297585,0.4302594,0.46632513,0.49771008,0.35620782,0.268857,0.5039887,0.5275976,0.335817,0.43239775,0.99999994,0.45019683,0.3148368,0.339705,0.32452616,0.2931569,0.3138832,0.373964,0.32169798,0.34297797,0.22751178,0.50979894,0.42791113,0.3718508,0.34271187,0.45284566
MARKET,0.36228505,0.3115334,0.20555101,0.3292724,0.30139017,0.31561747,0.33846188,0.27717757,0.3761098,0.29856542,0.44083214,0.19865811,0.26920998,0.33364046,0.32603523,0.27776876,0.32853323,0.31252795,0.26582217,0.24306448,0.36803082,0.2293494,0.3796208,0.34105295,0.38687804,0.32642394,0.4286536,0.3864497,0.33326158,0.31523734,0.37094742,0.31603563,0.26049814,0.31880867,0.34790733,0.4714423,0.2304134,0.39962506,0.24400528,0.35866475,0.26934072,0.29216567,0.51569796,0.346175,0.28245124,0.36677808,0.3080343,0.33577025,0.49471983,0.2983935,0.2849726,0.3210066,0.40913913,0.2763838,0.41650194,0.45019683,1.0,0.2668202,0.47207937,0.2728039,0.3527386,0.38069832,0.37907192,0.3330528,0.39254424,0.20572503,0.33025378,0.3717398,0.30015212,0.3274921,0.42235893
MEKTUP,0.14482726,0.14485794,0.19931579,0.3840937,0.19486763,0.31167668,0.33825395,0.23637071,0.2661531,0.25443614,0.2112253,0.22920962,0.15784767,0.23797925,0.26130313,0.47202083,0.30120617,0.2430867,0.2756656,0.3439248,0.2480049,0.21799599,0.2373389,0.20771861,0.2856569,0.3423602,0.33242354,0.3020433,0.23761359,0.26266268,0.36139968,0.23582946,0.30632153,0.19027829,0.2665508,0.28244063,0.29579732,0.17236842,0.16621172,0.2437141,0.15665694,0.2843251,0.2539108,0.4425382,0.26777205,0.21198039,0.28813154,0.31329888,0.25001514,0.2836086,0.16066447,0.26939237,0.28700235,0.24834791,0.20015876,0.3148368,0.2668202,0.99999994,0.25639898,0.22204159,0.34854645,0.3395698,0.28710836,0.4055868,0.1952275,0.21552312,0.32184452,0.23588149,0.35096163,0.27644026,0.21187226
KASA,0.34873444,0.35345578,0.23796849,0.2113113,0.19595617,0.24315633,0.4416823,0.3155221,0.3858581,0.3112532,0.29648775,0.25035098,0.2736141,0.2903625,0.31432584,0.26085842,0.36997187,0.31600145,0.21994537,0.3289718,0.3121791,0.2792929,0.29980826,0.32056302,0.36041346,0.29301727,0.43380222,0.4074521,0.26540142,0.3081313,0.43917024,0.21545395,0.25795543,0.28038666,0.29798517,0.48640177,0.28559422,0.3359591,0.29208225,0.31241393,0.25854203,0.22959252,0.48981118,0.30987364,0.26816013,0.31644806,0.30413026,0.3105905,0.35102344,0.3199855,0.35094804,0.3734444,0.43478322,0.2468334,0.34863836,0.339705,0.47207937,0.25639898,1.0000001,0.25240627,0.24543385,0.42892715,0.28050604,0.2974319,0.31402177,0.25118095,0.34008557,0.26488227,0.3432377,0.34331515,0.4025754
HARİTA,0.26905978,0.2265667,0.24575168,0.23260184,0.26560432,0.3351212,0.19088492,0.4777888,0.26027843,0.3291942,0.26656955,0.24030493,0.22777772,0.29527333,0.20820293,0.29881707,0.32903573,0.45450637,0.22974885,0.28922182,0.21535532,0.302152,0.2446514,0.28104672,0.24931696,0.25718153,0.30670723,0.26620996,0.33684102,0.23712687,0.32050654,0.26485533,0.2826053,0.25645864,0.22953762,0.29155988,0.22214225,0.33075923,0.21824104,0.33649737,0.31767482,0.23948179,0.28630966,0.3326061,0.3459258,0.2869912,0.20814198,0.3112473,0.30008996,0.2773163,0.25473353,0.27048483,0.2771936,0.26007545,0.2970813,0.32452616,0.2728039,0.22204159,0.25240627,1.0000004,0.26054034,0.25755575,0.3690449,0.27613202,0.29590753,0.23554245,0.38407496,0.25646785,0.29583558,0.3343307,0.16448423
DERGİ,0.27595496,0.24202043,0.15890807,0.32407138,0.23101692,0.3385341,0.40484753,0.28374615,0.25550944,0.27065283,0.26610735,0.20746343,0.27647012,0.34899223,0.23057821,0.45652935,0.2726978,0.17732872,0.21539707,0.37336022,0.26373073,0.22669512,0.29605424,0.28582823,0.25219536,0.28750277,0.29481363,0.286172,0.29264843,0.3140816,0.33158153,0.2921046,0.15987334,0.28097302,0.24597809,0.27756876,0.29404253,0.3730239,0.15432076,0.29666865,0.19275494,0.23172793,0.3223213,0.48532677,0.3191568,0.2567495,0.2593836,0.2995927,0.29295027,0.23018745,0.23843704,0.29256985,0.27654943,0.21516266,0.24823888,0.2931569,0.3527386,0.34854645,0.24543385,0.26054034,1.0,0.2685765,0.28591225,0.20206158,0.26846683,0.2239896,0.3613815,0.2556887,0.3344128,0.2301935,0.26396027
PARA,0.32168567,0.27154845,0.29303953,0.38222042,0.29575124,0.28540242,0.38066208,0.2661903,0.34836644,0.3138906,0.35524866,0.21557172,0.2993634,0.31127945,0.30407375,0.3103724,0.42209494,0.29794815,0.32822496,0.43194398,0.38174075,0.22223035,0.23854391,0.2812118,0.41149443,0.39314502,0.5471773,0.3330259,0.19190018,0.3572102,0.34059075,0.29957724,0.32891375,0.29569396,0.32805747,0.3587232,0.2725343,0.34200168,0.1924797,0.2965479,0.34029838,0.20750467,0.33257407,0.37832642,0.30070952,0.24886751,0.33340552,0.3095017,0.3170978,0.23765652,0.3509938,0.2822491,0.31687257,0.25360316,0.26166034,0.3138832,0.38069832,0.3395698,0.42892715,0.25755575,0.2685765,1.0000004,0.27939373,0.37018293,0.27193144,0.2889587,0.35182947,0.19861166,0.36562043,0.3123177,0.3853378
ZEMİN,0.40823618,0.3127708,0.2827226,0.36363676,0.26678073,0.3164641,0.26992917,0.3879106,0.37960672,0.38649985,0.35798955,0.23271549,0.3160881,0.3259657,0.36979368,0.29886314,0.28214568,0.541362,0.27327347,0.31443194,0.29657632,0.21945542,0.28088927,0.40683833,0.34017166,0.2799668,0.33090633,0.36368072,0.3252143,0.3662879,0.2770201,0.3433608,0.3011008,0.2083349,0.37077358,0.43879315,0.27445534,0.31630602,0.29852763,0.35458484,0.41303796,0.25235647,0.44648457,0.36578286,0.34138224,0.34941018,0.33904764,0.5168493,0.34582424,0.27815154,0.352425,0.30912042,0.3607188,0.32116944,0.35570377,0.373964,0.37907192,0.28710836,0.28050604,0.3690449,0.28591225,0.27939373,1.0,0.35434648,0.49636292,0.2429263,0.33154258,0.38117683,0.309759,0.4053062,0.32511196
HALKA,0.22883211,0.20304988,0.13385944,0.32306516,0.29170713,0.25113416,0.27253208,0.27577406,0.27863747,0.3300164,0.28431752,0.26465112,0.29918632,0.3216775,0.28048852,0.29639187,0.30366302,0.30369785,0.37796092,0.317929,0.30049068,0.14828941,0.2902339,0.3083392,0.36570862,0.31254506,0.34993306,0.41567418,0.32983932,0.3959347,0.29826453,0.26566556,0.36872554,0.3181358,0.38025787,0.3037183,0.31938106,0.31270397,0.20601971,0.27219996,0.26579595,0.25087264,0.34660378,0.3625674,0.17105524,0.23881796,0.2920387,0.24508649,0.3397231,0.28157613,0.21611324,0.32510167,0.32334074,0.2561026,0.2612621,0.32169798,0.3330528,0.4055868,0.2974319,0.27613202,0.20206158,0.37018293,0.35434648,0.9999999,0.28412512,0.31013894,0.33861277,0.25812885,0.32960632,0.26413625,0.31517163
TERAS,0.34138152,0.4179703,0.21884786,0.29845673,0.18576166,0.24280332,0.24717203,0.29382753,0.34949857,0.38297507,0.4525543,0.18512666,0.31608766,0.2695968,0.34837884,0.23107593,0.22546798,0.4345225,0.23881485,0.2748855,0.35573012,0.20143236,0.3233519,0.36542356,0.38724977,0.3394798,0.29176295,0.3454964,0.3249749,0.2937864,0.21476254,0.27361637,0.2863969,0.22142626,0.3918596,0.49297664,0.21034318,0.19445907,0.3247991,0.39832202,0.3260965,0.30728653,0.5141586,0.29734868,0.37530416,0.2787101,0.3081748,0.423312,0.4404363,0.30552498,0.3900744,0.3904572,0.3924213,0.36222786,0.38506487,0.34297797,0.39254424,0.1952275,0.31402177,0.29590753,0.26846683,0.27193144,0.49636292,0.28412512,0.9999999,0.1952113,0.29607078,0.5827601,0.33391768,0.2917533,0.37199184
SIRA,0.21580872,0.19279952,0.07459699,0.34424213,0.21200787,0.27157483,0.24554183,0.26894745,0.18903604,0.2007914,0.19860996,0.22951423,0.17022434,0.21431677,0.19301611,0.28915125,0.23572719,0.3545569,0.25944188,0.35853383,0.18028915,0.26204437,0.24888815,0.23586659,0.22600672,0.20852923,0.34448394,0.28041914,0.36846682,0.3317975,0.33281827,0.24695124,0.24696684,0.18196659,0.31211004,0.20733558,0.277971,0.29746172,0.19487686,0.28081498,0.21577267,0.254249,0.30881736,0.35429585,0.32089874,0.20869002,0.27577838,0.18226962,0.1918174,0.21986243,0.3019,0.19851716,0.18580304,0.18346214,0.2109816,0.22751178,0.20572503,0.21552312,0.25118095,0.23554245,0.2239896,0.2889587,0.2429263,0.31013894,0.1952113,1.0000001,0.22398563,0.26301676,0.28098962,0.27395698,0.19924504
KUTU,0.38359976,0.387488,0.30382136,0.3322115,0.29446208,0.39459828,0.43400848,0.4114368,0.44448063,0.4214243,0.2872768,0.39353818,0.49135813,0.39243647,0.45884544,0.39140588,0.50789285,0.30374506,0.3243156,0.42814988,0.35349604,0.36154884,0.4024943,0.45169908,0.37107033,0.46453822,0.40702856,0.3517845,0.31222457,0.33786014,0.3529138,0.19521134,0.2874284,0.33055973,0.491002,0.53343695,0.31417528,0.3681195,0.31711248,0.33451784,0.30203944,0.24416009,0.45004496,0.42896402,0.30377504,0.38628462,0.38078746,0.3467919,0.5084755,0.29835576,0.3280963,0.5214778,0.58360505,0.36956868,0.3618986,0.50979894,0.33025378,0.32184452,0.34008557,0.38407496,0.3613815,0.35182947,0.33154258,0.33861277,0.29607078,0.22398563,1.0000002,0.33253884,0.29989988,0.43464944,0.4534277
BAHÇE,0.32379538,0.39726743,0.2377193,0.3809403,0.30779216,0.26270428,0.2811826,0.31917915,0.36133543,0.55605483,0.57219464,0.2475791,0.35938343,0.34732294,0.4011718,0.34074855,0.35752732,0.42600378,0.24557923,0.22134793,0.40638798,0.17088549,0.41099834,0.40778512,0.41024756,0.42856082,0.32912448,0.40463674,0.37912348,0.291596,0.2763114,0.3366071,0.31523407,0.33270732,0.38594198,0.4780762,0.16100161,0.30673888,0.35911813,0.37669957,0.42530394,0.24540377,0.44326285,0.3228467,0.333113,0.34672102,0.4007922,0.43240282,0.43554258,0.46401694,0.36748946,0.41133484,0.37081662,0.37986672,0.38622448,0.42791113,0.3717398,0.23588149,0.26488227,0.25646785,0.2556887,0.19861166,0.38117683,0.25812885,0.5827601,0.26301676,0.33253884,1.0000001,0.3559496,0.30096573,0.36596137
SİLGİ,0.2618538,0.30084836,0.2771357,0.30195564,0.276192,0.3537906,0.46285284,0.23380895,0.40736207,0.3422429,0.30977964,0.21369141,0.31366658,0.37274384,0.32288873,0.40317157,0.44567758,0.3096867,0.33341965,0.35130304,0.3502729,0.30008015,0.3030593,0.2809936,0.46587232,0.37248266,0.47382417,0.38820836,0.3299725,0.29815382,0.41987616,0.2321775,0.32243937,0.28897247,0.395024,0.42197606,0.23595725,0.35833186,0.2090626,0.32842872,0.28169987,0.19058792,0.415059,0.36775336,0.21873873,0.25674906,0.25456142,0.38342142,0.39274693,0.3099497,0.3222543,0.36690748,0.4390932,0.43007672,0.35775,0.3718508,0.30015212,0.35096163,0.3432377,0.29583558,0.3344128,0.36562043,0.309759,0.32960632,0.33391768,0.28098962,0.29989988,0.3559496,0.99999976,0.3502489,0.4086417
KALIP,0.3432917,0.40190202,0.22173618,0.36688435,0.24089384,0.40010434,0.39360002,0.44157705,0.40797538,0.4715212,0.2203505,0.31709376,0.3760714,0.35848868,0.36907417,0.3743304,0.4943162,0.38730222,0.39548963,0.31944236,0.3874456,0.1892488,0.33431244,0.44882903,0.47462818,0.42366743,0.3527251,0.43744478,0.36500543,0.36502478,0.34746334,0.2642514,0.32565746,0.29841733,0.41832677,0.49310935,0.35068867,0.39979964,0.28622708,0.33249342,0.30387846,0.3570725,0.47614062,0.32065362,0.20878375,0.38582283,0.38969737,0.45370278,0.42869154,0.3582732,0.3498572,0.3573939,0.47211352,0.3479013,0.35546896,0.34271187,0.3274921,0.27644026,0.34331515,0.3343307,0.2301935,0.3123177,0.4053062,0.26413625,0.2917533,0.27395698,0.43464944,0.30096573,0.3502489,1.0000001,0.47379452
ÇORAP,0.37226915,0.3793928,0.28154117,0.34012216,0.3054684,0.34935734,0.4015725,0.35968626,0.5353797,0.46507254,0.34919965,0.30909854,0.49343824,0.3501088,0.49121708,0.29546568,0.48870486,0.2395469,0.28356093,0.36664125,0.49566066,0.22502632,0.336513,0.45754716,0.59220797,0.47706312,0.53130877,0.35487127,0.33596778,0.28807086,0.375554,0.3077318,0.3184329,0.37159407,0.5427536,0.6450923,0.25113052,0.34263012,0.3469225,0.27244642,0.25706863,0.2337792,0.4492557,0.30715483,0.19771324,0.50632036,0.33181962,0.35115653,0.6252873,0.40987727,0.45518586,0.46547982,0.61413217,0.3734478,0.37210864,0.45284566,0.42235893,0.21187226,0.4025754,0.16448423,0.26396027,0.3853378,0.32511196,0.31517163,0.37199184,0.19924504,0.4534277,0.36596137,0.4086417,0.47379452,0.99999976
